area,subfield,faculty,url
Environmental science and sustainability,Polymer science,Xinrong Lin,https://faculty.dukekunshan.edu.cn/faculty_profiles/xinrong-lin/
Environmental science and sustainability,Psychiatry,Rebecca Hock,https://faculty.dukekunshan.edu.cn/faculty_profiles/rebecca-hock
"Math, physical and materials sciences",Applied math,Konstantinos Efstathiou,https://faculty.dukekunshan.edu.cn/faculty_profiles/konstantinos-efstathiou
"Math, physical and materials sciences",Applied math,Lee Heejin,https://faculty.dukekunshan.edu.cn/faculty_profiles/heejin-lee
"Math, physical and materials sciences",Applied math,Marcus Werner,https://faculty.dukekunshan.edu.cn/faculty_profiles/marcus-werner
"Math, physical and materials sciences",Applied math,May Georg,https://faculty.dukekunshan.edu.cn/faculty_profiles/georg-may
"Math, physical and materials sciences",Applied math,Shixin Xu,https://faculty.dukekunshan.edu.cn/faculty_profiles/shixin-xu
"Math, physical and materials sciences",Applied math,Xiaoqian Xu,https://faculty.dukekunshan.edu.cn/faculty_profiles/xiaoqian-xu
"Math, physical and materials sciences","Chemistry, medicinal",Floyd Beckford,https://faculty.dukekunshan.edu.cn/faculty_profiles/floyd-beckford
"Math, physical and materials sciences","Chemistry, organic",Rui Liu,https://faculty.dukekunshan.edu.cn/faculty_profiles/rui-liu
"Math, physical and materials sciences",Education & educational research,Paul Stanley,https://faculty.dukekunshan.edu.cn/faculty_profiles/paul-stanley
"Math, physical and materials sciences","Materials science, biomaterials",Weiwei Shi,https://faculty.dukekunshan.edu.cn/faculty_profiles/weiwei-shi
"Math, physical and materials sciences","Materials science, characterization & testing",Changcheng Zheng,https://faculty.dukekunshan.edu.cn/faculty_profiles/changcheng-zheng
"Math, physical and materials sciences","Materials science, multidisciplinary",Xiawa Wang,https://faculty.dukekunshan.edu.cn/faculty_profiles/xiawa-wang
"Math, physical and materials sciences","Mathematics, interdisciplinary applications",Pascal Grange,https://faculty.dukekunshan.edu.cn/faculty_profiles/pascal-grange
"Math, physical and materials sciences",Physics,Domna Kotsifaki,https://faculty.dukekunshan.edu.cn/faculty_profiles/domna-kotsifaki
"Math, physical and materials sciences","Physics, condensed matter",Myung-Joong Hwang,https://faculty.dukekunshan.edu.cn/faculty_profiles/myung-joong-hwang
"Math, physical and materials sciences","Physics, multidisciplinary",Kai Huang,https://faculty.dukekunshan.edu.cn/faculty_profiles/kai-huang
"Math, physical and materials sciences",Pure math,Zhenghui Huo,https://faculty.dukekunshan.edu.cn/faculty_profiles/zhenghui-huo
"Math, physical and materials sciences",Statistics & probability,Cristiano Villa,https://faculty.dukekunshan.edu.cn/faculty_profiles/cristiano-villa
"Math, physical and materials sciences",Statistics & probability,Dongmian Zou,https://faculty.dukekunshan.edu.cn/faculty_profiles/dongmian-zou
"Math, physical and materials sciences",Statistics & probability,Lin Jiu,https://faculty.dukekunshan.edu.cn/faculty_profiles/lin-jiu
"Math, physical and materials sciences",Statistics & probability,Xingshi Cai,https://faculty.dukekunshan.edu.cn/faculty_profiles/xingshi-cai
